time,voltage,pressed
0.0976575,5,0
0.2217065,5,0
0.2839186,5,0
0.3483114,5,0
0.4108646,5,0
0.4734874,5,0
0.5351471,5,0
0.5969653,5,0
0.6589359,5,0
0.715204,5,0
0.7835045,5,0
0.8460417,5,0
0.9088316,5,0
0.9731241,5,0
1.0335088,5,0
1.0957426,5,0
1.1585918,5,0
1.2207636,5,0
1.2833714,5,0
1.3444305,5,0
1.40794,5,0
1.470488,5,0
1.5317638,5,0
1.5916968,5,0
1.65928,5,0
1.7259192,5,0
1.787197,5,0
1.8491164,5,0
1.9099174,5,0
1.9720157,5,0
2.0328062,5,0
2.0940745,5,0
2.1576935,5,0
2.2206489,5,0
2.2824093,5,0
2.3438094,5,0
2.406576,5,0
2.4675861,5,0
2.5308113,5,0
2.5928584,5,0
2.6545326,5,0
2.7172499,5,0
2.7800389,5,0
2.8415554,5,0
2.9051043,5,0
2.9682586,5,0
3.0309737,5,0
3.092824,5,0
3.1540092,5,0
3.2161189,5,0
3.2778562,5,0
3.3406108,5,0
3.403089,5,0
3.4654743,5,0
3.529021,5,0
3.5910554,5,0
3.6531875,5,0
3.7163474,5,0
3.7786335,5,0
3.8409248,5,0
3.9029829,5,0
3.965791,5,0
4.028816,5,0
4.0925655,5,0
4.1546076,5,0
4.2169848,5,0
4.2796865,5,0
4.3405929,5,0
4.4076171,5,0
4.4701198,5,0
4.5328337,5,0
4.5962418,5,0
4.6591864,5,0
4.7227279,5,0
4.7847544,5,0
4.8472927,5,0
4.9093253,5,0
4.9720289,5,0
5.0354622,5,0
5.0973758,5,0
5.1599839,5,0
5.2230406,5,0
5.2844391,5,0
5.3469487,5,0
5.4094575,5,0
5.4727013,5,0
5.535194,5,0
5.597523,5,0
5.6606119,5,0
5.7233128,5,0
5.7847218,5,0
5.8474289,5,0
5.9100926,5,0
5.9708181,5,0
6.0337871,5,0
6.0964342,5,0
6.1584202,5,0
6.2206325,5,0
6.2842727,5,0
6.3475833,5,0
6.4088387,5,0
6.469613,5,0
6.5313308,5,0
6.5937641,5,0
6.6563197,5,0
6.7191121,5,0
6.7820376,5,0
6.8449828,5,0
6.9067996,5,0
6.9703854,5,0
7.0413802,5,0
7.107631,5,0
7.1778623,5,0
7.2435828,5,0
7.3038284,5,0
7.3661689,5,0
7.4284256,5,0
7.4905305,5,0
7.5530339,5,0
7.6154704,5,0
7.6769702,5,0
7.7389795,5,0
7.8004463,5,0
7.862337,5,0
7.9256061,5,0
7.9877213,5,0
8.0502799,5,0
8.113392,5,0
8.1757053,5,0
8.2373785,5,0
8.2996942,5,0
8.3625831,5,0
8.4263368,5,0
8.4891419,5,0
8.5514245,5,0
8.6150176,5,0
8.6761048,5,0
8.7392116,5,0
8.8010246,5,0
8.8636084,5,0
8.9267837,5,0
8.9898091,5,0
9.0514444,5,0
9.114201,5,0
9.1758581,5,0
9.237701,5,0
9.2999674,5,0
9.3627127,5,0
9.4238004,5,0
9.4868754,5,0
9.5501516,5,0
9.6115389,5,0
9.674389,5,0
9.7366457,5,0
9.7992934,5,0
9.8613374,5,0
9.9231646,5,0
9.9844229,5,0
